hhid,persid,jteid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y24H5900240,Y24H5900240P03,Y24H5900240P03JTE234,Weekday,FROM_HOME,Y24H5900240P03S01,420,Whitehorse (C),TO_EDUCATION,Y24H5900240P03S03,470.0,Boroondara (C),Vehicle Passenger,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,420.0,435.0,455.0,,,,,,,,,,,,,430.0,455.0,470.0,,,,,,,,,,,,,2.89985,11.9728,1.19732,,,,,,,,,,,,,10.0,20.0,15.0,,,,,,,,,,,,,Train,45,16.06997,50.0,544.811073179,MELB - Middle,Greater Melbourne
Y24H5900302,Y24H5900302P02,Y24H5900302P02JTE235,Weekday,FROM_HOME,Y24H5900302P02S01,540,Port Phillip (C),TO_EDUCATION,Y24H5900302P02S03,589.0,Melbourne (C),Walking,Tram,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,540.0,562.0,585.0,,,,,,,,,,,,,550.0,585.0,589.0,,,,,,,,,,,,,0.51021,4.19912,0.27622,,,,,,,,,,,,,10.0,23.0,4.0,,,,,,,,,,,,,Tram,37,4.98555,49.0,1776.542314355,MELB - Inner,Greater Melbourne
Y24H5900411,Y24H5900411P05,Y24H5900411P05JTE236,Weekday,FROM_HOME,Y24H5900411P05S01,360,Hume (C),TO_EDUCATION,Y24H5900411P05S01,362.0,Hume (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,360.0,,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,1.40563,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,Vehicle Passenger,2,1.40563,2.0,3420.05945579,MELB - Outer,Greater Melbourne
Y24H5910105,Y24H5910105P03,Y24H5910105P03JTE237,Weekday,FROM_HOME,Y24H5910105P03S01,401,Casey (C),TO_EDUCATION,Y24H5910105P03S03,510.0,Casey (C),Vehicle Passenger,Vehicle Passenger,Walking,,,,,,,,,,,,,Personal Business,Social,Education,,,,,,,,,,,,,Place of education,Accommodation,Place of education,,,,,,,,,,,,,401.0,411.0,500.0,,,,,,,,,,,,,407.0,413.0,510.0,,,,,,,,,,,,,3.33152,1.27039,0.6077,,,,,,,,,,,,,6.0,2.0,10.0,,,,,,,,,,,,,Vehicle Passenger,18,5.2096100000000005,109.0,1016.626583853,MELB - Outer,Greater Melbourne
Y24H5910301,Y24H5910301P03,Y24H5910301P03JTE238,Weekday,FROM_HOME,Y24H5910301P03S01,499,Stonnington (C),TO_EDUCATION,Y24H5910301P03S01,508.0,Melbourne (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,499.0,,,,,,,,,,,,,,,508.0,,,,,,,,,,,,,,,2.71653,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,Vehicle Passenger,9,2.71653,9.0,417.896355576,MELB - Inner,Greater Melbourne
Y24H5910301,Y24H5910301P04,Y24H5910301P04JTE239,Weekday,FROM_HOME,Y24H5910301P04S01,499,Stonnington (C),TO_EDUCATION,Y24H5910301P04S01,508.0,Melbourne (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,499.0,,,,,,,,,,,,,,,508.0,,,,,,,,,,,,,,,2.71653,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,Vehicle Passenger,9,2.71653,9.0,500.11686245,MELB - Inner,Greater Melbourne
Y24H5910312,Y24H5910312P03,Y24H5910312P03JTE240,Weekday,FROM_HOME,Y24H5910312P03S01,476,Stonnington (C),TO_EDUCATION,Y24H5910312P03S03,503.0,Melbourne (C),Walking,Tram,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,476.0,481.0,497.0,,,,,,,,,,,,,478.0,497.0,503.0,,,,,,,,,,,,,0.23041,3.40101,0.33037,,,,,,,,,,,,,2.0,16.0,6.0,,,,,,,,,,,,,Tram,24,3.96179,27.0,766.491760608,MELB - Inner,Greater Melbourne
Y24H5910331,Y24H5910331P03,Y24H5910331P03JTE241,Weekday,FROM_HOME,Y24H5910331P03S01,601,Stonnington (C),TO_EDUCATION,Y24H5910331P03S01,619.0,Melbourne (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,601.0,,,,,,,,,,,,,,,619.0,,,,,,,,,,,,,,,4.0652,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,Vehicle Passenger,18,4.0652,18.0,404.521241717,MELB - Inner,Greater Melbourne
Y24H5910340,Y24H5910340P03,Y24H5910340P03JTE242,Weekday,FROM_HOME,Y24H5910340P03S01,502,Stonnington (C),TO_EDUCATION,Y24H5910340P03S01,514.0,Yarra (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,502.0,,,,,,,,,,,,,,,514.0,,,,,,,,,,,,,,,3.50597,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,Vehicle Passenger,12,3.50597,12.0,562.957052035,MELB - Inner,Greater Melbourne
Y24H5910340,Y24H5910340P04,Y24H5910340P04JTE243,Weekday,FROM_HOME,Y24H5910340P04S01,502,Stonnington (C),TO_EDUCATION,Y24H5910340P04S01,514.0,Yarra (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,502.0,,,,,,,,,,,,,,,514.0,,,,,,,,,,,,,,,3.50597,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,Vehicle Passenger,12,3.50597,12.0,431.690868526,MELB - Inner,Greater Melbourne
