hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y24H6200309,Y24H6200309P01,Y24H6200309P01JTW1662,Weekday,FROM_HOME,Y24H6200309P01S01,480,Bayside (C),TO_WORK,Y24H6200309P01S02,525.0,Greater Dandenong (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Place of education,Place of work,,,,,,,,,,,,,,480.0,510.0,,,,,,,,,,,,,,510.0,525.0,,,,,,,,,,,,,,19.97871,7.09546,,,,,,,,,,,,,,30.0,15.0,,,,,,,,,,,,,,Vehicle Driver,45,27.07417,45.0,633.112679543,MELB - Middle,Greater Melbourne
Y24H6200309,Y24H6200309P02,Y24H6200309P02JTW1663,Weekday,FROM_HOME,Y24H6200309P02S01,390,Bayside (C),TO_WORK,Y24H6200309P02S01,405.0,Stonnington (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,390.0,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,6.35915,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,6.35915,15.0,603.603953935,MELB - Middle,Greater Melbourne
Y24H6200311,Y24H6200311P01,Y24H6200311P01JTW1664,Weekday,FROM_HOME,Y24H6200311P01S01,550,Bayside (C),TO_WORK,Y24H6200311P01S01,589.0,Greater Dandenong (C),Motorcycle,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,550.0,,,,,,,,,,,,,,,589.0,,,,,,,,,,,,,,,29.08589,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,Motorcycle,39,29.08589,39.0,1383.6182723,MELB - Middle,Greater Melbourne
Y24H6200311,Y24H6200311P05,Y24H6200311P05JTW1665,Weekday,FROM_HOME,Y24H6200311P05S01,478,Bayside (C),TO_WORK,Y24H6200311P05S01,512.0,Monash (C),Vehicle Passenger,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,478.0,,,,,,,,,,,,,,,512.0,,,,,,,,,,,,,,,14.81956,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,Vehicle Passenger,34,14.81956,34.0,507.787693379,MELB - Middle,Greater Melbourne
Y24H6200313,Y24H6200313P02,Y24H6200313P02JTW1666,Weekend,FROM_HOME,Y24H6200313P02S01,690,Bayside (C),TO_WORK,Y24H6200313P02S01,705.0,Kingston (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,690.0,,,,,,,,,,,,,,,705.0,,,,,,,,,,,,,,,7.25,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,7.25,15.0,266.139992047,MELB - Middle,Greater Melbourne
Y24H6200316,Y24H6200316P02,Y24H6200316P02JTW1667,Weekday,FROM_HOME,Y24H6200316P02S01,420,Bayside (C),TO_WORK,Y24H6200316P02S01,465.0,Whitehorse (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,18.53454,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,Vehicle Driver,45,18.53454,45.0,430.995366305,MELB - Middle,Greater Melbourne
Y24H6200318,Y24H6200318P01,Y24H6200318P01JTW1668,Weekday,FROM_HOME,Y24H6200318P01S01,480,Bayside (C),TO_WORK,Y24H6200318P01S01,490.0,Glen Eira (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,5.16962,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Driver,10,5.16962,10.0,607.06343907,MELB - Middle,Greater Melbourne
Y24H6200318,Y24H6200318P02,Y24H6200318P02JTW1669,Weekday,FROM_HOME,Y24H6200318P02S01,480,Bayside (C),TO_WORK,Y24H6200318P02S02,495.0,Glen Eira (C),Vehicle Driver,Vehicle Driver,,,,,,,,,,,,,,Pick-up or Drop-off Someone,Work Related,,,,,,,,,,,,,,Transport Feature,Place of work,,,,,,,,,,,,,,480.0,486.0,,,,,,,,,,,,,,485.0,495.0,,,,,,,,,,,,,,2.44441,4.34204,,,,,,,,,,,,,,5.0,9.0,,,,,,,,,,,,,,Vehicle Driver,14,6.78645,15.0,578.768841554,MELB - Middle,Greater Melbourne
Y24H6200323,Y24H6200323P02,Y24H6200323P02JTW1670,Weekday,FROM_HOME,Y24H6200323P02S01,510,Glen Eira (C),TO_WORK,Y24H6200323P02S01,530.0,Stonnington (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,530.0,,,,,,,,,,,,,,,6.91026,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Driver,20,6.91026,20.0,821.533894703,MELB - Middle,Greater Melbourne
Y24H6200324,Y24H6200324P01,Y24H6200324P01JTW1671,Weekday,FROM_HOME,Y24H6200324P01S01,376,Glen Eira (C),TO_WORK,Y24H6200324P01S01,388.0,Port Phillip (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,376.0,,,,,,,,,,,,,,,388.0,,,,,,,,,,,,,,,7.79929,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,Vehicle Driver,12,7.79929,12.0,546.369852891,MELB - Middle,Greater Melbourne
